,window,time_step,name_dataset,name_model,time,num_params,RMSE,MAPE,SMAPE,MAE,R2,NRMSE,FB
0,0,use [kW](t) (t+5),KSH2,CNN_LSTM,273.67,141684,0.5822800993919373,48.90474081039429,19.368965923786163,0.407706081867218,0.253481219902543,0.15600020146286053,0.019025874683015028
1,0,use [kW](t) (t+10),KSH2,CNN_LSTM,273.67,141684,0.6144993305206299,49.10571277141571,19.871708750724792,0.4235793948173523,0.16705468280954872,0.2127341345167354,0.06429974345503996
2,0,use [kW](t) (t+15),KSH2,CNN_LSTM,273.67,141684,0.6431684494018555,52.652567625045776,20.80012708902359,0.44776636362075806,0.08675336684547386,0.23355950094440447,0.05695995830525131
3,0,use [kW](t) (t+20),KSH2,CNN_LSTM,273.67,141684,0.6451733708381653,53.06723713874817,21.13885134458542,0.45357316732406616,0.08018958076102467,0.2700784289928778,0.0770485169545652
4,0,use [kW](t) (t+25),KSH2,CNN_LSTM,273.67,141684,0.6410456895828247,52.448731660842896,21.02552354335785,0.4496849477291107,0.09108295411829448,0.30383511043364697,0.08335715614087207
5,0,use [kW](t) (t+30),KSH2,CNN_LSTM,273.67,141684,0.6439650058746338,53.458207845687866,21.060603857040405,0.4506232738494873,0.08289828581879477,0.33598185364494443,0.07619057059836797
6,1,use [kW](t) (t+5),KSH2,CNN_LSTM,253.58,141684,0.5205405354499817,172.39238023757935,21.30810022354126,0.38843563199043274,0.29239235229899196,0.10043216362551097,0.08765934531938233
7,1,use [kW](t) (t+10),KSH2,CNN_LSTM,253.58,141684,0.5469834804534912,200.72877407073975,21.841034293174744,0.4030110538005829,0.21920414253849274,0.11173466371164131,0.06377092147540442
8,1,use [kW](t) (t+15),KSH2,CNN_LSTM,253.58,141684,0.561098575592041,224.25901889801025,21.864770352840424,0.4063374102115631,0.17754570971734684,0.11915403409316444,0.04305994140140909
9,1,use [kW](t) (t+20),KSH2,CNN_LSTM,253.58,141684,0.5706121325492859,212.43619918823242,22.747813165187836,0.4230106472969055,0.1498470672255422,0.1348996476620622,0.04661800021644268
10,1,use [kW](t) (t+25),KSH2,CNN_LSTM,253.58,141684,0.5740998387336731,216.07496738433838,22.37425446510315,0.415182501077652,0.13925132007519492,0.15378513885660128,0.08079386686838634
11,1,use [kW](t) (t+30),KSH2,CNN_LSTM,253.58,141684,0.5813052654266357,211.41467094421387,22.750960290431976,0.42391133308410645,0.11788139884065663,0.15100116723519347,0.07003902694539818
12,2,use [kW](t) (t+5),KSH2,CNN_LSTM,327.28,141684,0.5140472054481506,93.84777545928955,23.13503324985504,0.34600189328193665,0.38776580602321065,0.08011377903927684,-0.020182844991333007
13,2,use [kW](t) (t+10),KSH2,CNN_LSTM,327.28,141684,0.5504919290542603,99.71023797988892,23.33684414625168,0.35767778754234314,0.29792247697497254,0.12316806657869141,0.02100466510809164
14,2,use [kW](t) (t+15),KSH2,CNN_LSTM,327.28,141684,0.5707351565361023,110.6924057006836,24.24304038286209,0.37550246715545654,0.24500929906022118,0.13860826136097812,0.014412135143483083
15,2,use [kW](t) (t+20),KSH2,CNN_LSTM,327.28,141684,0.58385169506073,116.83101654052734,25.233417749404907,0.3912983536720276,0.21223756598901866,0.163562093478633,0.007730875757801909
16,2,use [kW](t) (t+25),KSH2,CNN_LSTM,327.28,141684,0.6035502552986145,110.62731742858887,25.073552131652832,0.3927745819091797,0.15863719388420028,0.2552598040866604,0.03850507366629346
17,2,use [kW](t) (t+30),KSH2,CNN_LSTM,327.28,141684,0.6149163246154785,112.4138593673706,25.800973176956177,0.4059285819530487,0.12576833487204786,0.3291865913898648,0.03277515382469674
18,3,use [kW](t) (t+5),KSH2,CNN_LSTM,328.18,141684,0.806071400642395,50.192201137542725,20.46356350183487,0.5142455697059631,-0.28766313137921373,0.052584605647711495,0.27406437043852533
19,3,use [kW](t) (t+10),KSH2,CNN_LSTM,328.18,141684,0.7923286557197571,51.37030482292175,20.231811702251434,0.5141286253929138,-0.24681910419833786,0.06118962903175558,0.24582596279968855
20,3,use [kW](t) (t+15),KSH2,CNN_LSTM,328.18,141684,0.799737274646759,64.32992815971375,21.65076732635498,0.5423358678817749,-0.27041374041205524,0.07090744281602689,0.3046712543287312
21,3,use [kW](t) (t+20),KSH2,CNN_LSTM,328.18,141684,0.8060810565948486,57.536596059799194,22.183360159397125,0.5544663071632385,-0.2912033923573123,0.08143810836822547,0.2957118516015916
22,3,use [kW](t) (t+25),KSH2,CNN_LSTM,328.18,141684,0.8581932783126831,54.78843450546265,22.812871634960175,0.5730774402618408,-0.46387922229968814,0.07784913427223744,0.33437373964968387
23,3,use [kW](t) (t+30),KSH2,CNN_LSTM,328.18,141684,0.8519037365913391,59.17176604270935,22.588329017162323,0.5681585669517517,-0.44296517558264514,0.07573687242021686,0.3138360174253349
24,4,use [kW](t) (t+5),KSH2,CNN_LSTM,261.17,141684,0.5176405906677246,115.74844121932983,22.078989446163177,0.346261203289032,0.2796329367996627,0.09099617572823404,0.08754098724459325
25,4,use [kW](t) (t+10),KSH2,CNN_LSTM,261.17,141684,0.5336640477180481,130.10821342468262,22.61998951435089,0.35833096504211426,0.20456369411869946,0.0996667806258774,0.06898142021046962
26,4,use [kW](t) (t+15),KSH2,CNN_LSTM,261.17,141684,0.5234586000442505,141.28366708755493,23.208023607730865,0.3659846782684326,0.22452203388482184,0.11097100670169414,0.024860159565400317
27,4,use [kW](t) (t+20),KSH2,CNN_LSTM,261.17,141684,0.5316610932350159,160.84272861480713,23.787645995616913,0.3781372010707855,0.18930445676658403,0.12106046268971103,-0.015392274806131393
