window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,Global_active_power(t+5),0.595,62.443,12.024,0.21,0.413,-0.142,0.223,2125,4.284782409667969,2.003265380859375
0,Global_active_power(t+10),0.153,16.567,4.869,0.05,0.963,-0.034,0.057,2124,4.284782409667969,2.003265380859375
0,Global_active_power(t+15),0.029,1.102,0.533,0.008,0.998,-0.004,0.011,2130,4.284782409667969,2.003265380859375
0,Global_active_power(t+20),0.094,10.271,3.855,0.037,0.984,-0.02,0.037,2109,4.284782409667969,2.003265380859375
0,Global_active_power(t+25),0.257,25.628,6.31,0.086,0.857,-0.071,0.101,2089,4.284782409667969,2.003265380859375
0,Global_active_power(t+30),0.283,54.819,13.789,0.146,0.858,-0.125,0.111,2140,4.284782409667969,2.003265380859375
188,Global_active_power(t+5),0.008,0.446,0.213,0.002,1.0,-0.001,0.002,1951,4.222697973251343,2.003265380859375
188,Global_active_power(t+10),0.038,1.439,0.682,0.011,0.998,0.005,0.012,1905,4.222697973251343,2.003265380859375
188,Global_active_power(t+15),0.003,0.185,0.091,0.001,1.0,-0.001,0.001,1982,4.222697973251343,2.003265380859375
188,Global_active_power(t+20),0.085,3.113,1.388,0.024,0.988,-0.025,0.028,1913,4.222697973251343,2.003265380859375
188,Global_active_power(t+25),0.051,1.867,0.775,0.011,0.996,-0.011,0.017,1958,4.222697973251343,2.003265380859375
188,Global_active_power(t+30),0.008,0.4,0.194,0.002,1.0,-0.002,0.002,1963,4.222697973251343,2.003265380859375
376,Global_active_power(t+5),0.086,13.68,3.303,0.022,0.979,-0.033,0.035,1480,4.14006233215332,2.003265380859375
376,Global_active_power(t+10),0.07,10.979,2.634,0.017,0.987,-0.019,0.028,1459,4.14006233215332,2.003265380859375
376,Global_active_power(t+15),0.224,38.876,5.262,0.057,0.878,-0.079,0.09,1470,4.14006233215332,2.003265380859375
376,Global_active_power(t+20),0.052,9.648,2.935,0.016,0.993,-0.013,0.021,1469,4.14006233215332,2.003265380859375
376,Global_active_power(t+25),0.112,22.165,4.617,0.03,0.97,-0.04,0.045,1464,4.14006233215332,2.003265380859375
376,Global_active_power(t+30),0.057,10.458,2.768,0.014,0.993,-0.018,0.023,1418,4.14006233215332,2.003265380859375
564,Global_active_power(t+5),0.06,15.548,5.881,0.029,0.997,-0.038,0.01,1744,4.468059062957764,2.003265380859375
564,Global_active_power(t+10),0.203,47.213,12.327,0.094,0.939,-0.142,0.044,1707,4.468059062957764,2.003265380859375
564,Global_active_power(t+15),0.132,45.901,12.144,0.068,0.886,-0.153,0.092,1733,4.468059062957764,2.003265380859375
564,Global_active_power(t+20),0.09,20.378,6.731,0.035,0.944,-0.076,0.063,1692,4.468059062957764,2.003265380859375
564,Global_active_power(t+25),0.021,6.647,2.99,0.012,0.997,-0.021,0.014,1725,4.468059062957764,2.003265380859375
564,Global_active_power(t+30),0.348,90.97,14.368,0.144,0.4,-0.286,0.244,1701,4.468059062957764,2.003265380859375
752,Global_active_power(t+5),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1787,4.449326038360596,2.003265380859375
752,Global_active_power(t+10),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1738,4.449326038360596,2.003265380859375
752,Global_active_power(t+15),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1785,4.449326038360596,2.003265380859375
752,Global_active_power(t+20),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1752,4.449326038360596,2.003265380859375
752,Global_active_power(t+25),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1762,4.449326038360596,2.003265380859375
752,Global_active_power(t+30),0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1709,4.449326038360596,2.003265380859375
940,Global_active_power(t+5),0.142,18.27,4.563,0.04,0.974,-0.028,0.035,1708,4.168549060821533,2.003265380859375
940,Global_active_power(t+10),0.159,33.993,9.145,0.16,0.577,0.044,0.039,1760,4.168549060821533,2.003265380859375
940,Global_active_power(t+15),0.025,5.376,2.351,0.119,0.587,0.149,0.006,1740,4.168549060821533,2.003265380859375
940,Global_active_power(t+20),0.064,11.966,4.266,0.024,0.993,-0.027,0.02,1633,4.168549060821533,2.003265380859375
940,Global_active_power(t+25),0.053,8.989,3.64,0.022,0.996,-0.023,0.017,1639,4.168549060821533,2.003265380859375
940,Global_active_power(t+30),0.035,6.332,2.714,0.014,0.998,-0.007,0.011,1687,4.168549060821533,2.003265380859375
1128,Global_active_power(t+5),0.059,6.297,2.591,0.022,0.993,-0.025,0.025,1838,4.239943265914917,2.003265380859375
1128,Global_active_power(t+10),0.101,4.853,1.563,0.021,0.98,-0.016,0.043,1800,4.239943265914917,2.003265380859375
1128,Global_active_power(t+15),0.1,5.758,1.942,0.022,0.98,-0.024,0.042,1775,4.239943265914917,2.003265380859375
1128,Global_active_power(t+20),0.053,5.067,2.129,0.018,0.995,-0.019,0.022,1719,4.239943265914917,2.003265380859375
1128,Global_active_power(t+25),0.062,4.705,1.755,0.016,0.992,-0.017,0.028,1820,4.239943265914917,2.003265380859375
1128,Global_active_power(t+30),0.151,8.921,2.537,0.037,0.951,-0.034,0.067,1793,4.239943265914917,2.003265380859375
1316,Global_active_power(t+5),0.241,34.189,8.277,0.095,0.971,-0.053,0.04,1956,4.253039360046387,2.003265380859375
1316,Global_active_power(t+10),0.057,6.814,2.83,0.022,0.998,-0.013,0.009,1871,4.253039360046387,2.003265380859375
1316,Global_active_power(t+15),0.008,0.629,0.304,0.002,1.0,-0.001,0.001,1874,4.253039360046387,2.003265380859375
1316,Global_active_power(t+20),0.327,46.026,9.133,0.128,0.954,-0.066,0.055,1855,4.253039360046387,2.003265380859375
1316,Global_active_power(t+25),0.06,8.523,3.546,0.031,0.998,-0.009,0.01,1963,4.253039360046387,2.003265380859375
1316,Global_active_power(t+30),0.024,1.737,0.802,0.008,1.0,-0.002,0.004,1908,4.253039360046387,2.003265380859375
1504,Global_active_power(t+5),0.0,0.002,0.001,0.0,1.0,-0.0,0.0,2006,4.357018947601318,2.003265380859375
1504,Global_active_power(t+10),0.001,0.04,0.02,0.0,1.0,0.0,0.0,2018,4.357018947601318,2.003265380859375
1504,Global_active_power(t+15),0.0,0.0,0.0,0.0,1.0,0.0,0.0,2064,4.357018947601318,2.003265380859375
1504,Global_active_power(t+20),0.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,4.357018947601318,2.003265380859375
