window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
7427,PM2.5(t+15),8.335,5.471,2.816,4.809,0.979,0.005,0.03,3160,6.213010787963867,1.9657821655273438
7427,PM2.5(t+20),8.982,5.82,2.785,4.998,0.976,-0.012,0.033,3226,6.213010787963867,1.9657821655273438
7427,PM2.5(t+25),6.86,4.949,2.425,4.351,0.986,-0.009,0.025,3175,6.213010787963867,1.9657821655273438
7427,PM2.5(t+30),6.752,5.152,2.752,4.155,0.987,0.015,0.025,3327,6.213010787963867,1.9657821655273438
8488,PM2.5(t+5),12.779,9.966,4.145,4.385,0.86,-0.03,0.087,3278,5.6847124099731445,1.9657821655273438
8488,PM2.5(t+10),6.78,8.474,3.818,3.479,0.961,-0.007,0.046,3407,5.6847124099731445,1.9657821655273438
8488,PM2.5(t+15),10.345,11.448,4.77,4.756,0.909,-0.024,0.07,3474,5.6847124099731445,1.9657821655273438
8488,PM2.5(t+20),6.319,10.277,4.529,3.753,0.965,-0.03,0.043,3490,5.6847124099731445,1.9657821655273438
8488,PM2.5(t+25),6.443,7.53,3.728,3.824,0.963,0.015,0.044,3466,5.6847124099731445,1.9657821655273438
8488,PM2.5(t+30),7.166,8.84,4.293,4.312,0.953,-0.001,0.049,3416,5.6847124099731445,1.9657821655273438
9549,PM2.5(t+5),6.201,11.055,4.933,3.71,0.984,-0.013,0.029,2642,5.663280725479126,1.9657821655273438
9549,PM2.5(t+10),12.403,16.4,6.183,4.85,0.937,-0.005,0.058,2734,5.663280725479126,1.9657821655273438
9549,PM2.5(t+15),8.818,22.193,7.494,4.649,0.969,-0.038,0.041,2826,5.663280725479126,1.9657821655273438
9549,PM2.5(t+20),7.09,20.348,7.212,4.556,0.98,-0.031,0.033,2981,5.663280725479126,1.9657821655273438
9549,PM2.5(t+25),7.905,13.73,5.814,4.727,0.976,-0.0,0.037,2966,5.663280725479126,1.9657821655273438
9549,PM2.5(t+30),9.455,16.62,5.763,4.09,0.965,-0.024,0.044,2980,5.663280725479126,1.9657821655273438
10610,PM2.5(t+5),4.738,5.296,2.574,2.502,0.989,-0.01,0.028,3278,5.770578622817993,1.9657821655273438
10610,PM2.5(t+10),5.109,6.481,3.229,2.869,0.987,-0.001,0.031,3553,5.770578622817993,1.9657821655273438
10610,PM2.5(t+15),4.309,5.061,2.552,2.377,0.991,0.001,0.026,3534,5.770578622817993,1.9657821655273438
10610,PM2.5(t+20),5.191,5.562,2.799,2.854,0.987,0.002,0.031,3571,5.770578622817993,1.9657821655273438
10610,PM2.5(t+25),4.174,5.95,2.921,2.796,0.991,-0.0,0.025,3624,5.770578622817993,1.9657821655273438
10610,PM2.5(t+30),5.131,7.057,3.374,3.36,0.987,-0.012,0.031,3630,5.770578622817993,1.9657821655273438
11671,PM2.5(t+5),6.975,6.851,3.139,4.077,0.994,0.007,0.019,2207,5.544569969177246,1.9657821655273438
11671,PM2.5(t+10),6.524,6.318,2.944,4.024,0.995,0.009,0.018,2334,5.544569969177246,1.9657821655273438
11671,PM2.5(t+15),5.721,5.887,2.73,3.681,0.996,0.009,0.016,2399,5.544569969177246,1.9657821655273438
11671,PM2.5(t+20),6.267,7.752,3.651,4.045,0.995,0.011,0.017,2440,5.544569969177246,1.9657821655273438
11671,PM2.5(t+25),7.859,6.186,3.171,4.045,0.993,0.016,0.022,2376,5.544569969177246,1.9657821655273438
11671,PM2.5(t+30),14.421,5.904,2.74,5.518,0.976,-0.021,0.04,2454,5.544569969177246,1.9657821655273438
12732,PM2.5(t+5),4.82,23.586,8.319,2.971,0.996,-0.014,0.015,2109,5.534458875656128,1.9657821655273438
12732,PM2.5(t+10),5.994,22.425,8.567,3.514,0.994,-0.001,0.019,2368,5.534458875656128,1.9657821655273438
12732,PM2.5(t+15),5.642,22.804,8.146,3.014,0.995,-0.011,0.018,2338,5.534458875656128,1.9657821655273438
12732,PM2.5(t+20),5.068,23.447,8.194,2.859,0.996,-0.016,0.016,2359,5.534458875656128,1.9657821655273438
12732,PM2.5(t+25),4.686,26.182,8.302,2.587,0.997,-0.017,0.015,2417,5.534458875656128,1.9657821655273438
12732,PM2.5(t+30),9.327,38.312,11.457,4.74,0.986,-0.034,0.029,2505,5.534458875656128,1.9657821655273438
13793,PM2.5(t+5),7.959,35.393,12.517,5.019,0.979,-0.061,0.037,2736,5.591717958450317,1.9657821655273438
13793,PM2.5(t+10),7.797,31.803,10.874,4.597,0.977,-0.052,0.037,2878,5.591717958450317,1.9657821655273438
