window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
58779,use [kW](t+25),0.114,10.362,4.57,0.065,0.948,-0.029,0.019,2927,72.44518256187439,5.671283721923828
58779,use [kW](t+30),0.101,8.857,3.957,0.057,0.959,-0.029,0.017,2897,72.44518256187439,5.671283721923828
67176,use [kW](t+5),0.156,16.67,7.083,0.087,0.918,-0.039,0.036,4049,73.37137579917908,5.671283721923828
67176,use [kW](t+10),0.163,16.284,7.056,0.09,0.911,-0.017,0.037,4157,73.37137579917908,5.671283721923828
67176,use [kW](t+15),0.16,17.592,7.432,0.089,0.915,-0.029,0.037,4084,73.37137579917908,5.671283721923828
67176,use [kW](t+20),0.157,15.971,6.989,0.089,0.917,-0.022,0.036,4102,73.37137579917908,5.671283721923828
67176,use [kW](t+25),0.148,14.522,6.429,0.086,0.924,-0.033,0.034,4100,73.37137579917908,5.671283721923828
67176,use [kW](t+30),0.156,20.314,8.26,0.093,0.917,-0.042,0.036,4071,73.37137579917908,5.671283721923828
75573,use [kW](t+5),0.137,20.001,7.177,0.086,0.684,0.013,0.012,3785,71.78781867027283,5.671283721923828
75573,use [kW](t+10),0.128,19.872,6.916,0.083,0.689,0.012,0.011,3758,71.78781867027283,5.671283721923828
75573,use [kW](t+15),0.117,21.553,6.812,0.083,0.694,0.011,0.01,3765,71.78781867027283,5.671283721923828
75573,use [kW](t+20),0.108,20.207,6.768,0.081,0.699,0.004,0.009,3774,71.78781867027283,5.671283721923828
75573,use [kW](t+25),0.132,27.279,7.292,0.083,0.687,0.018,0.011,3699,71.78781867027283,5.671283721923828
75573,use [kW](t+30),0.105,21.283,6.391,0.072,0.699,0.033,0.009,3668,71.78781867027283,5.671283721923828
83970,use [kW](t+5),0.117,11.052,4.531,0.057,0.957,-0.007,0.015,3040,74.5429515838623,5.671283721923828
83970,use [kW](t+10),0.107,12.285,4.551,0.054,0.963,-0.003,0.014,3067,74.5429515838623,5.671283721923828
83970,use [kW](t+15),0.096,9.884,4.292,0.052,0.969,-0.01,0.012,2989,74.5429515838623,5.671283721923828
83970,use [kW](t+20),0.118,9.624,4.408,0.057,0.959,-0.014,0.015,3004,74.5429515838623,5.671283721923828
83970,use [kW](t+25),0.093,7.618,3.533,0.045,0.973,-0.002,0.012,3016,74.5429515838623,5.671283721923828
83970,use [kW](t+30),0.087,7.691,3.583,0.046,0.974,0.004,0.011,3000,74.5429515838623,5.671283721923828
92367,use [kW](t+5),0.183,49.927,11.288,0.105,0.855,0.006,0.028,3215,73.88624906539917,5.671283721923828
92367,use [kW](t+10),0.19,54.009,11.002,0.106,0.845,-0.063,0.029,3165,73.88624906539917,5.671283721923828
92367,use [kW](t+15),0.209,53.033,11.561,0.111,0.812,-0.003,0.032,3169,73.88624906539917,5.671283721923828
92367,use [kW](t+20),0.157,48.831,10.954,0.094,0.894,0.004,0.024,3181,73.88624906539917,5.671283721923828
92367,use [kW](t+25),0.142,48.576,10.396,0.088,0.913,-0.005,0.022,3155,73.88624906539917,5.671283721923828
92367,use [kW](t+30),0.148,50.761,10.295,0.088,0.907,-0.032,0.023,3157,73.88624906539917,5.671283721923828
100764,use [kW](t+5),0.061,69.249,8.413,0.04,0.976,0.007,0.01,2686,71.26916217803955,5.671283721923828
100764,use [kW](t+10),0.06,67.566,8.417,0.04,0.977,0.014,0.01,2724,71.26916217803955,5.671283721923828
100764,use [kW](t+15),0.093,73.799,8.771,0.045,0.944,-0.019,0.016,2731,71.26916217803955,5.671283721923828
100764,use [kW](t+20),0.072,69.797,8.512,0.041,0.967,-0.02,0.012,2714,71.26916217803955,5.671283721923828
100764,use [kW](t+25),0.064,88.361,8.383,0.04,0.973,-0.012,0.011,2723,71.26916217803955,5.671283721923828
100764,use [kW](t+30),0.065,73.443,8.524,0.04,0.971,-0.01,0.011,2724,71.26916217803955,5.671283721923828
109161,use [kW](t+5),0.107,529.248,10.39,0.063,0.891,-0.074,0.035,3259,71.72841715812683,5.671283721923828
109161,use [kW](t+10),0.099,716.036,10.127,0.06,0.907,-0.067,0.032,3244,71.72841715812683,5.671283721923828
109161,use [kW](t+15),0.125,534.356,11.377,0.073,0.852,-0.1,0.041,3189,71.72841715812683,5.671283721923828
109161,use [kW](t+20),0.104,599.227,10.666,0.065,0.896,-0.101,0.034,3172,71.72841715812683,5.671283721923828
109161,use [kW](t+25),0.117,672.77,11.118,0.072,0.87,-0.09,0.038,3239,71.72841715812683,5.671283721923828
