window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
2170,CO(GT)(t+15),0.008,0.068,0.034,0.001,1.0,0.001,0.0,3368,2.7757885456085205,1.9590263366699219
2170,CO(GT)(t+20),0.007,0.054,0.027,0.001,1.0,0.001,0.0,3354,2.7757885456085205,1.9590263366699219
2170,CO(GT)(t+25),0.008,0.059,0.029,0.001,1.0,0.0,0.0,3354,2.7757885456085205,1.9590263366699219
2170,CO(GT)(t+30),0.008,0.065,0.032,0.001,1.0,0.0,0.0,3372,2.7757885456085205,1.9590263366699219
2480,CO(GT)(t+5),0.22,3.924,1.65,0.06,1.0,0.048,0.001,3387,2.677055835723877,1.9590263366699219
2480,CO(GT)(t+10),0.289,5.268,2.065,0.078,1.0,0.053,0.001,3398,2.677055835723877,1.9590263366699219
2480,CO(GT)(t+15),0.583,11.84,3.744,0.145,0.237,-0.014,0.224,3394,2.677055835723877,1.9590263366699219
2480,CO(GT)(t+20),0.313,6.176,2.421,0.091,0.754,-0.066,0.12,3380,2.677055835723877,1.9590263366699219
2480,CO(GT)(t+25),2.937,24.158,4.156,0.485,-21.223,0.284,1.13,3384,2.677055835723877,1.9590263366699219
2480,CO(GT)(t+30),3.274,46.857,3.661,0.526,-37.503,0.435,1.559,3384,2.677055835723877,1.9590263366699219
2790,CO(GT)(t+5),0.116,1.904,0.874,0.036,1.0,0.041,0.001,3420,2.70698618888855,1.9590263366699219
2790,CO(GT)(t+10),0.12,2.011,0.922,0.038,1.0,0.034,0.001,3412,2.70698618888855,1.9590263366699219
2790,CO(GT)(t+15),0.125,2.17,0.996,0.042,0.985,-0.017,0.028,3420,2.70698618888855,1.9590263366699219
2790,CO(GT)(t+20),0.13,2.358,1.081,0.045,0.984,-0.019,0.03,3412,2.70698618888855,1.9590263366699219
2790,CO(GT)(t+25),0.134,2.494,1.139,0.046,0.984,-0.022,0.03,3414,2.70698618888855,1.9590263366699219
2790,CO(GT)(t+30),0.143,2.812,1.289,0.053,0.978,-0.024,0.036,3424,2.70698618888855,1.9590263366699219
3100,CO(GT)(t+5),0.004,0.0,0.0,0.001,0.0,0.0,0.0,2834,2.662330389022827,1.9590263366699219
3100,CO(GT)(t+10),0.005,0.0,0.0,0.001,0.0,0.0,0.0,2892,2.662330389022827,1.9590263366699219
3100,CO(GT)(t+15),0.005,0.0,0.0,0.001,0.0,0.0,0.0,2890,2.662330389022827,1.9590263366699219
3100,CO(GT)(t+20),0.005,0.0,0.0,0.001,0.0,0.0,0.0,2930,2.662330389022827,1.9590263366699219
