window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
0,PM2.5(t+5),0.726,0.15,0.077,0.109,0.999,0.002,0.006,3024,3.389883041381836,2.003265380859375
0,PM2.5(t+10),0.068,0.048,0.024,0.009,1.0,0.0,0.001,3056,3.389883041381836,2.003265380859375
0,PM2.5(t+15),0.107,0.224,0.108,0.021,1.0,-0.0,0.001,3065,3.389883041381836,2.003265380859375
0,PM2.5(t+20),0.553,0.356,0.176,0.097,1.0,0.002,0.005,3030,3.389883041381836,2.003265380859375
0,PM2.5(t+25),0.222,0.146,0.072,0.045,1.0,-0.001,0.002,3015,3.389883041381836,2.003265380859375
0,PM2.5(t+30),0.676,0.312,0.161,0.139,0.999,0.002,0.006,3016,3.389883041381836,2.003265380859375
264,PM2.5(t+5),0.611,0.184,0.094,0.112,1.0,0.0,0.003,3055,3.459960699081421,2.003265380859375
264,PM2.5(t+10),0.006,0.002,0.001,0.001,1.0,-0.0,0.0,3059,3.459960699081421,2.003265380859375
264,PM2.5(t+15),0.113,0.031,0.015,0.021,1.0,-0.0,0.001,3019,3.459960699081421,2.003265380859375
264,PM2.5(t+20),0.654,0.147,0.074,0.179,1.0,0.001,0.003,3065,3.459960699081421,2.003265380859375
264,PM2.5(t+25),0.907,0.221,0.112,0.262,1.0,0.002,0.005,3085,3.459960699081421,2.003265380859375
264,PM2.5(t+30),1.249,0.296,0.154,0.241,0.999,0.001,0.007,3075,3.459960699081421,2.003265380859375
528,PM2.5(t+5),0.544,0.445,0.221,0.162,1.0,0.001,0.003,2985,3.516427755355835,2.003265380859375
528,PM2.5(t+10),0.21,0.18,0.089,0.063,1.0,0.0,0.001,2998,3.516427755355835,2.003265380859375
528,PM2.5(t+15),3.559,1.754,0.776,0.84,0.992,-0.012,0.02,2965,3.516427755355835,2.003265380859375
528,PM2.5(t+20),1.178,0.393,0.193,0.289,0.999,-0.002,0.007,2965,3.516427755355835,2.003265380859375
528,PM2.5(t+25),0.61,0.264,0.132,0.18,1.0,-0.001,0.003,2993,3.516427755355835,2.003265380859375
528,PM2.5(t+30),2.122,1.135,0.608,0.643,0.997,0.008,0.012,3012,3.516427755355835,2.003265380859375
792,PM2.5(t+5),0.825,0.307,0.147,0.125,1.0,-0.002,0.006,3092,4.714874267578125,2.003265380859375
792,PM2.5(t+10),1.934,0.799,0.41,0.445,0.998,0.0,0.015,3088,4.714874267578125,2.003265380859375
792,PM2.5(t+15),0.315,0.064,0.032,0.054,1.0,-0.001,0.002,3082,4.714874267578125,2.003265380859375
792,PM2.5(t+20),3.097,2.797,1.109,0.745,0.994,-0.011,0.024,3112,4.714874267578125,2.003265380859375
792,PM2.5(t+25),4.151,0.942,0.536,0.724,0.99,0.008,0.032,3096,4.714874267578125,2.003265380859375
792,PM2.5(t+30),1.272,0.302,0.15,0.298,0.999,-0.0,0.01,3100,4.714874267578125,2.003265380859375
1056,PM2.5(t+5),0.21,0.557,0.263,0.049,1.0,-0.001,0.001,3000,4.080100059509277,2.003265380859375
1056,PM2.5(t+10),0.328,0.732,0.364,0.112,1.0,0.001,0.001,3034,4.080100059509277,2.003265380859375
1056,PM2.5(t+15),1.035,1.732,0.807,0.352,1.0,0.003,0.004,3100,4.080100059509277,2.003265380859375
1056,PM2.5(t+20),0.478,0.361,0.179,0.098,1.0,-0.002,0.002,3055,4.080100059509277,2.003265380859375
1056,PM2.5(t+25),0.091,0.026,0.013,0.014,1.0,0.0,0.0,3098,4.080100059509277,2.003265380859375
1056,PM2.5(t+30),0.065,0.057,0.029,0.015,1.0,-0.0,0.0,3089,4.080100059509277,2.003265380859375
1320,PM2.5(t+5),2.374,2.279,0.838,0.449,0.998,-0.003,0.012,2962,3.9087564945220947,2.003265380859375
1320,PM2.5(t+10),7.138,1.316,0.592,1.271,0.983,-0.012,0.036,3000,3.9087564945220947,2.003265380859375
1320,PM2.5(t+15),2.298,0.768,0.431,0.379,0.998,0.005,0.012,2953,3.9087564945220947,2.003265380859375
1320,PM2.5(t+20),1.941,0.984,0.508,0.482,0.998,0.002,0.012,2935,3.9087564945220947,2.003265380859375
1320,PM2.5(t+25),0.361,0.266,0.133,0.094,1.0,-0.001,0.002,3010,3.9087564945220947,2.003265380859375
1320,PM2.5(t+30),1.977,0.977,0.514,0.512,0.998,0.008,0.012,3016,3.9087564945220947,2.003265380859375
1584,PM2.5(t+5),0.357,0.034,0.017,0.049,1.0,0.0,0.001,2907,3.050584077835083,2.003265380859375
1584,PM2.5(t+10),0.0,0.0,0.0,0.0,1.0,0.0,0.0,2909,3.050584077835083,2.003265380859375
1584,PM2.5(t+15),0.14,0.117,0.057,0.022,1.0,-0.0,0.0,2936,3.050584077835083,2.003265380859375
1584,PM2.5(t+20),0.014,0.068,0.033,0.002,1.0,-0.0,0.0,2906,3.050584077835083,2.003265380859375
1584,PM2.5(t+25),0.133,0.006,0.003,0.021,1.0,0.0,0.0,2928,3.050584077835083,2.003265380859375
1584,PM2.5(t+30),0.167,0.165,0.081,0.031,1.0,-0.0,0.0,2981,3.050584077835083,2.003265380859375
1848,PM2.5(t+5),0.981,0.103,0.052,0.146,1.0,0.001,0.004,3046,3.4734652042388916,2.003265380859375
1848,PM2.5(t+10),1.914,0.338,0.163,0.348,0.999,-0.001,0.008,3045,3.4734652042388916,2.003265380859375
1848,PM2.5(t+15),1.627,0.406,0.192,0.322,0.999,-0.003,0.007,3061,3.4734652042388916,2.003265380859375
1848,PM2.5(t+20),0.301,0.111,0.056,0.067,1.0,0.0,0.001,3075,3.4734652042388916,2.003265380859375
1848,PM2.5(t+25),1.978,0.458,0.218,0.39,0.999,-0.003,0.008,3073,3.4734652042388916,2.003265380859375
1848,PM2.5(t+30),0.089,0.04,0.02,0.015,1.0,0.0,0.0,3062,3.4734652042388916,2.003265380859375
2112,PM2.5(t+5),0.972,0.307,0.161,0.171,0.999,0.002,0.007,3089,2.9220311641693115,2.003265380859375
2112,PM2.5(t+10),0.041,0.023,0.011,0.009,1.0,0.0,0.0,3061,2.9220311641693115,2.003265380859375
2112,PM2.5(t+15),0.296,0.222,0.11,0.087,1.0,-0.0,0.002,3086,2.9220311641693115,2.003265380859375
2112,PM2.5(t+20),0.625,0.302,0.154,0.158,1.0,0.001,0.005,3082,2.9220311641693115,2.003265380859375
2112,PM2.5(t+25),1.231,0.583,0.281,0.365,0.999,-0.006,0.009,3096,2.9220311641693115,2.003265380859375
2112,PM2.5(t+30),0.092,0.067,0.033,0.023,1.0,-0.0,0.001,3080,2.9220311641693115,2.003265380859375
2376,PM2.5(t+5),1.352,0.818,0.386,0.328,0.999,-0.005,0.007,3084,2.533381700515747,2.003265380859375
2376,PM2.5(t+10),0.302,0.18,0.089,0.068,1.0,-0.0,0.001,3079,2.533381700515747,2.003265380859375
2376,PM2.5(t+15),1.574,1.27,0.518,0.289,0.999,-0.003,0.008,3077,2.533381700515747,2.003265380859375
2376,PM2.5(t+20),0.22,0.199,0.101,0.058,1.0,0.0,0.001,3084,2.533381700515747,2.003265380859375
2376,PM2.5(t+25),0.139,0.113,0.055,0.024,1.0,-0.0,0.001,3070,2.533381700515747,2.003265380859375
2376,PM2.5(t+30),0.731,0.421,0.203,0.201,1.0,-0.002,0.004,3074,2.533381700515747,2.003265380859375
2640,PM2.5(t+5),1.029,0.41,0.198,0.228,0.999,-0.003,0.007,3020,2.6067001819610596,2.003265380859375
2640,PM2.5(t+10),0.035,0.021,0.011,0.006,1.0,0.0,0.0,3048,2.6067001819610596,2.003265380859375
2640,PM2.5(t+15),7.055,1.242,0.486,1.06,0.976,-0.014,0.046,3049,2.6067001819610596,2.003265380859375
